Vereador,Partido,Projeto: PLE 054/12 - PROC. 2546/12 - Data de votação: 17/12/2012 - Autoria: GOVERNO MUNICIPAL - Resultado: Aprovado - Horário de início: 17:22:43  - Horário de término: 17:24:48 - Link para projeto: http://camarapoa.rs.gov.br/processos/117012
ADELI SELL,PT,Abstenção
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Sim
Bernardino Vendruscolo,PMDB,Não votou
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Não
DJ Cassiá,PTB,Sim
Dr. Goular,PTB,Sim
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Não
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Antonio Dib,PP,Sim
João Carlos Nedel,PP,Sim
Kevin Krieger,PP,Sim
Luciano Marcantônio,PTB,Sim
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Não
Mario Antonio Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Sim
Márcio Bins Ely,PDT,Sim
Nelcir Tessaro,PTB,Sim
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Não votou
Sebastião Melo,PMDB,Sim
Sofia Cavedon,PT,Abstenção
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Sim
Toni Proença,PPL,Ausente
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
