Vereador,Partido,Projeto: REQ. VOTAÇÃO EM DESTAQUE - ART. 84-A - VETO PARCIAL PLCL 020/11 - PROC. 3295/11 - Data de votação: 06/04/2016 - Autoria: do Ver. Reginaldo Pujol - Resultado: Aprovado - Horário de início: 16:14:57  - Horário de término: 16:17:30 - Link para projeto: http://camarapoa.rs.gov.br/processos/113544
Adeli Sell,PT,Não
Airto Ferronato,PSB,Sim
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Sim
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Sim
Elizandro Sabino,PTB,Sim
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Ausente
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Luciano Marcantônio,PTB,Sim
Marcelo Sgarbossa,PT,Não
Mario Manfro,PTB,Sim
Mauro Pinheiro,REDE,Sim
Mauro Zacher,PDT,Sim
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Não
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PR,Sim
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
