Vereador,Partido,Projeto: PLE 040/11 - PROC. 3490/11 - EMENDA 14 - Data de votação: 07/12/2011 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 16:22:45  - Horário de término: 16:24:41 - Link para projeto: http://camarapoa.rs.gov.br/processos/113744
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não
Aldacir Oliboni,PT,Sim
Bernardino Vendruscolo,PMDB,Não
Beto Moesch,PP,Não votou
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Ausente
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Não votou
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Não
João Antonio Dib,PP,Não
João Carlos Nedel,PP,Não
Luciano Marcantônio,PTB,Não
Luiz Braz,PSDB,Não
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Não votou
Mario Fraga,PDT,Não
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não
Nelcir Tessaro,PTB,Não
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não votou
Pedro Ruas,PSOL,Sim
Reginaldo Pujol,DEM,Não votou
Sebastião Melo,PMDB,Não votou
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Não
Thiago Duarte,PDT,Não
Toni Proença,PPL,Não votou
Waldir Canal,PRB,Não votou
