Vereador,Partido,Projeto: PLCE 010/13 - PROC. 2495/13 - EMENDA 16 - Data de votação: 21/05/2014 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 15:28:46  - Horário de término: 15:30:39 - Link para projeto: http://camarapoa.rs.gov.br/processos/119813
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não votou
Alceu Brasinha,PTB,Não
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Ausente
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Abstenção
Delegado Cleiton,PDT,Abstenção
Dr. Thiago,PDT,Abstenção
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Ausente
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Não
Paulinho Motorista,PSB,Abstenção
Professor Garcia,PMDB,Abstenção
Reginaldo Pujol,DEM,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Abstenção
Valter Nagelstein,PMDB,Abstenção
Waldir Canal,PRB,Não
