Vereador,Partido,Projeto: PLE 036/14 - PROC. 2397/14 - EMENDA 20 - Data de votação: 03/12/2014 - Autoria: do Governo Municipal - Resultado: Rejeitado - Horário de início: 18:14:08  - Horário de término: 18:16:41 - Link para projeto: http://camarapoa.rs.gov.br/processos/123501
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Não
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Não votou
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Ausente
Engº Comassetto,PT,Ausente
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Não votou
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Sim
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não votou
Tarciso Flecha Negra,PSD,Abstenção
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não votou
