Vereador,Partido,Projeto: PLCL 020/14 - PROC. 1718/14 - EMENDA 09 - Data de votação: 13/07/2016 - Autoria: Ver. Mauro Pinheiro - Resultado: Rejeitado - Horário de início: 17:46:13  - Horário de término: 17:48:44 - Link para projeto: http://camarapoa.rs.gov.br/processos/122799
Adeli Sell,PT,Não votou
Airto Ferronato,PSB,Não
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Não
Delegado Cleiton,PDT,Não
Dinho do Grêmio,DEM,Não
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Não
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
José Freitas,PRB,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não votou
Luciano Marcantônio,PTB,Não
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PTB,Não
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Não
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não votou
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PR,Ausente
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Não
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Não
