Vereador,Partido,Projeto: PLE 050/12 - PROC. 2542/12 - Data de votação: 17/12/2012 - Autoria: GOVERNO MUNICIPAL - Resultado: Aprovado - Horário de início: 16:45:22  - Horário de término: 16:48:13 - Link para projeto: http://camarapoa.rs.gov.br/processos/117008
ADELI SELL,PT,Abstenção
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não votou
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Não votou
Carlos Todeschini,PT,Abstenção
DJ Cassiá,PTB,Sim
Dr. Goular,PTB,Sim
Elias Vidal,PPS,Sim
Elói Guimarães,PTB,Sim
Engº. Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Antonio Dib,PP,Sim
João Carlos Nedel,PP,Sim
Kevin Krieger,PP,Sim
Luciano Marcantônio,PTB,Sim
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Não votou
Mario Antonio Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Sim
Márcio Bins Ely,PDT,Sim
Nelcir Tessaro,PTB,Sim
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Não votou
Sebastião Melo,PMDB,Sim
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Sim
Toni Proença,PPL,Ausente
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
