Vereador,Partido,"Projeto: PLCL 005/10 - PROC. 1200/10 - EMENDA 02 - Data de votação: 25/10/2010 - Autoria: BERNARDINO VENDRUSCOLO, DR. THIAGO DUARTE                                 , ENGENHEIRO COMASSETTO                             , ERVINO BESSON, FERNANDA MELCHIONNA                               , JOAO ANTONIO DIB, PAULINHO RUBEM BERTA                              , REGINALDO PUJOL - Resultado: Rejeitado - Horário de início: 15:48:32  - Horário de término: 15:50:06 - Link para projeto: http://camarapoa.rs.gov.br/processos/106677"
ADELI SELL,PT,Não
Airto Ferronato,PSB,Ausente
Alceu Brasinha,PTB,Ausente
Aldacir Oliboni,PT,Não votou
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Não
Carlos Todeschini,PT,Não
DJ Cassiá,PTB,Não
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Não votou
Engº. Comassetto,PT,Não
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não
Idenir Cecchim,PMDB,Sim
João Antonio Dib,PP,Não
João Bosco Vaz,PDT,Ausente
João Carlos Nedel,PP,Não
Juliana Brizola,PDT,Não votou
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Não
Mario Antonio Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não
Mauro Zacher,PDT,Não
Maurício Dziedricki,PTB,Não
Nelcir Tessaro,PTB,Abstenção
Nilo Santos,PTB,Não
Paulinho Rubem Berta,PPS,Não
Paulo Marques,PMDB,Não votou
Pedro Ruas,PSOL,Não votou
Reginaldo Pujol,DEM,Sim
Sebastião Melo,PMDB,Abstenção
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PDT,Não
Thiago Duarte,PDT,Não
Toni Proença,PPL,Não
Waldir Canal,PRB,Não
