Vereador,Partido,Projeto: PLE 047/12 - PROC. 2539/12 - EM. 03 - Data de votação: 17/12/2012 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 12:10:25  - Horário de término: 12:12:28 - Link para projeto: http://camarapoa.rs.gov.br/processos/117005
ADELI SELL,PT,Não votou
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Não
Bernardino Vendruscolo,PMDB,Não
Beto Moesch,PP,Não
Carlos Garcia,PMDB,Não
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Ausente
Dr. Goular,PTB,Não
Elias Vidal,PPS,Sim
Elói Guimarães,PTB,Não
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Não votou
Idenir Cecchim,PMDB,Não
José Freitas,PRB,Não
João Antonio Dib,PP,Não
João Carlos Nedel,PP,Não
Kevin Krieger,PP,Não
Luciano Marcantônio,PTB,Não
Luiz Braz,PSDB,Não
Maria Celeste,PT,Sim
Mario Antonio Manfro,PSDB,Não
Mauro Pinheiro,PT,Sim
Mauro Zacher,PDT,Não
Márcio Bins Ely,PDT,Não
Nelcir Tessaro,PTB,Não
Paulinho Rubem Berta,PPS,Não
Pedro Ruas,PSOL,Sim
Sebastião Melo,PMDB,Não
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Não
Thiago Duarte,PDT,Não
Toni Proença,PPL,Sim
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Sim
