Vereador,Partido,Projeto: PLCE 005/17 - PROC. 1433/17 - EMENDA 15 - Data de votação: 12/07/2017 - Autoria: Governo Municipal - Resultado: Rejeitado - Horário de início: 19:38:58  - Horário de término: 19:41:41 - Link para projeto: http://camarapoa.rs.gov.br/processos/131722
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Não
Aldacir Oliboni,PT,Sim
Alvaro Araujo,PSDB,Não
Alvoni Medina,PRB,Não
André Carús,PMDB,Não votou
Cassio Trogildo,PTB,Não
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Não
Comandante Nádia,PMDB,Ausente
Dr. Thiago,DEM,Não
Engº COmassetto,PT,Sim
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Sim
Idenir Cecchim,PMDB,Não
José Freitas,PRB,Não
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Não
Luciano Marcantonio,PTB,Não
Marilia Fidell,PTB,Não
Matheus Ayres,PP,Não
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Não
Mendes Ribeiro,PMDB,Não
Monica Leal,PP,Não
Márcio Bins Ely,PDT,Justificado
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Professor Alex Fraga,PSOL,Sim
Professor Wambert,PROS,Não
Reginaldo Pujol,DEM,Não
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PR,Não
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não
