Vereador,Partido,Projeto: PLL 238/09 - PROC. 5361/09 - Data de votação: 28/04/2010 - Autoria: MARIO MANFRO                                       - Resultado: Aprovado - Horário de início: 16:31:05  - Horário de término: 16:33:23 - Link para projeto: http://camarapoa.rs.gov.br/processos/104619
ADELI SELL,PT,Sim
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Sim
Aldacir Oliboni,PT,Sim
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Sim
Carlos Todeschini,PT,Sim
DJ Cassiá,PTB,Sim
Dr. Raul,PMDB,Sim
Elias Vidal,PPS,Sim
Engº. Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Sim
João Antonio Dib,PP,Sim
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Não votou
João Pancinha,PMDB,Sim
Juliana Brizola,PDT,Não votou
Luiz Braz,PSDB,Sim
Mario Antonio Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não votou
Mauro Zacher,PDT,Não votou
Maurício Dziedricki,PTB,Sim
Nelcir Tessaro,PTB,Sim
Nilo Santos,PTB,Sim
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Não votou
Reginaldo Pujol,DEM,Sim
Sebastião Melo,PMDB,Justificado
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Sim
Toni Proença,PPL,Sim
Waldir Canal,PRB,Não votou
