Vereador,Partido,Projeto: PLL 145/15 - PROC. 1598/15 - EMENDA 02 - Data de votação: 25/11/2015 - Autoria: Ver. Clàudio Janta - Resultado: Aprovado - Horário de início: 18:05:50  - Horário de término: 18:08:18 - Link para projeto: http://camarapoa.rs.gov.br/processos/125851
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Sim
Antonio Matos,N/A,Sim
Bernardino Vendruscolo,PROS,Abstenção
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Não
Dr. Goulart,PTB,Sim
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,PDT,Abstenção
Elizandro Sabino,PTB,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Sim
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Justificado
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Sim
Pérola Sampaio,N/A,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não votou
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Não
