Vereador,Partido,Projeto: PLL 220/14 - PROC. 2384/14 - EMENDA 01 - Data de votação: 14/07/2016 - Autoria: Ver. Reginaldo Pujol - Resultado: Aprovado - Horário de início: 18:36:38  - Horário de término: 18:38:44 - Link para projeto: http://camarapoa.rs.gov.br/processos/123487
Adeli Sell,PT,Não
Airto Ferronato,PSB,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Não votou
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Sim
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Não votou
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Sim
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Não votou
Lourdes Sprenger,PMDB,Não votou
Luciano Marcantônio,PTB,Sim
Marcelo Sgarbossa,PT,Não
Mario Manfro,PTB,Sim
Mauro Pinheiro,REDE,Sim
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Ausente
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PR,Não votou
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Ausente
