Vereador,Partido,Projeto: PLL 163/14 - PROC. 1741/14 - Data de votação: 15/09/2014 - Autoria: PEDRO RUAS - Resultado: Aprovado - Horário de início: 15:34:58  - Horário de término: 15:36:57 - Link para projeto: http://camarapoa.rs.gov.br/processos/122823
Airto Ferronato,PSB,Ausente
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Sim
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Ausente
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
Jussara Cony,PCdoB,Ausente
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Luciano Marcantônio,PDT,Ausente
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Sim
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Ausente
Mônica Leal,PP,Ausente
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Pedro Ruas,PSOL,Sim
Professor Garcia,PMDB,Ausente
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PCdoB,Sim
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
