Vereador,Partido,Projeto: PLE 040/16 - PROC. 2761/16 - VETO PARCIAL - Data de votação: 28/06/2017 - Autoria: Governo Municipal - Resultado: Aprovado - Horário de início: 16:33:53  - Horário de término: 16:36:50 - Link para projeto: http://camarapoa.rs.gov.br/processos/130192
Adeli Sell,PT,Não
Airto Ferronato,PSB,Sim
Aldacir Oliboni,PT,Não
Alvoni Medina,PRB,Representação externa
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Sim
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Sim
Comandante Nádia,PMDB,Sim
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Sim
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Não
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Sim
Luciano Marcantonio,PTB,Sim
Marcelo Sgarbossa,PT,Não
Matheus Ayres,PP,Sim
Mauro Pinheiro,REDE,Sim
Mauro Zacher,PDT,Sim
Mendes Ribeiro,PMDB,Sim
Moisés Barboza,PSDB,Sim
Monica Leal,PP,Sim
Márcio Bins Ely,PDT,Sim
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Sim
Professor Alex Fraga,PSOL,Não
Professor Wambert,PROS,Sim
Reginaldo Pujol,DEM,Sim
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PR,Sim
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Sim
