Vereador,Partido,Projeto: PLCL 022/16 - PROC. 1150/16 - EMENDA 01 - Data de votação: 09/02/2017 - Autoria: Ver. João Carlos Nedel - Resultado: Aprovado - Horário de início: 16:15:24  - Horário de término: 16:18:12 - Link para projeto: http://camarapoa.rs.gov.br/processos/128527
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Não
Aldacir Oliboni,PT,Abstenção
Alvoni Medina,PRB,Sim
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Sim
Cassiá Carpes,PP,Sim
Clàudio Janta,SDD,Sim
Comandante Nádia,PMDB,Sim
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Abstenção
Felipe Camozzato,NOVO,Sim
Fernanda Melchionna,PSOL,Abstenção
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Não votou
João Carlos Nedel,PP,Sim
Luciano Marcantonio,PTB,Sim
Marcelo Sgarbossa,PT,Abstenção
Matheus Ayres,PP,Sim
Mauro Pinheiro,REDE,Sim
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Sim
Moisés Barboza,PSDB,Sim
Monica Leal,PP,Sim
Márcio Bins Ely,PDT,Sim
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Sim
Professor Alex Fraga,PSOL,Abstenção
Professor Wambert,PROS,Sim
Reginaldo Pujol,DEM,Abstenção
Roberto Robaina,PSOL,Abstenção
Rodrigo Maroni,PR,Sim
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não votou
