Vereador,Partido,Projeto: PLE 055/12 - PROC. 2547/12 - MENS. RETIF. - Data de votação: 17/12/2012 - Autoria: GOVERNO MUNICIPAL - Resultado: Aprovado - Horário de início: 17:51:53  - Horário de término: 17:53:47 - Link para projeto: http://camarapoa.rs.gov.br/processos/117013
ADELI SELL,PT,Abstenção
Airto Ferronato,PSB,Sim
Alceu Brasinha,PTB,Sim
Bernardino Vendruscolo,PMDB,Sim
Beto Moesch,PP,Sim
Carlos Garcia,PMDB,Sim
Carlos Todeschini,PT,Não
DJ Cassiá,PTB,Sim
Dr. Goular,PTB,Sim
Elias Vidal,PPS,Não votou
Elói Guimarães,PTB,Não votou
Engº. Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não
Haroldo de Souza,PMDB,Sim
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Antonio Dib,PP,Sim
João Carlos Nedel,PP,Sim
Kevin Krieger,PP,Sim
Luciano Marcantônio,PTB,Sim
Luiz Braz,PSDB,Sim
Maria Celeste,PT,Não
Mario Antonio Manfro,PSDB,Sim
Mauro Pinheiro,PT,Não
Mauro Zacher,PDT,Não votou
Márcio Bins Ely,PDT,Sim
Nelcir Tessaro,PTB,Sim
Paulinho Rubem Berta,PPS,Sim
Pedro Ruas,PSOL,Não votou
Sebastião Melo,PMDB,Sim
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PDT,Sim
Thiago Duarte,PDT,Sim
Toni Proença,PPL,Ausente
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não votou
