Vereador,Partido,Projeto: PLCE 005/13 - PROC. 1699/13 - EMENDA 03 - Data de votação: 18/09/2013 - Autoria: GOVERNO MUNICIPAL - Resultado: Aprovado - Horário de início: 16:42:12  - Horário de término: 16:44:27 - Link para projeto: http://camarapoa.rs.gov.br/processos/118954
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Sim
Alceu Brasinha,PTB,Sim
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,PDT,Sim
Delegado Cleiton,PDT,Sim
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Ausente
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Sim
Lourdes Sprenger,PMDB,Sim
Luiza Neves,PDT,Sim
Marcelo Sgarbossa,PT,Não votou
Mario Fraga,PDT,Sim
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Sim
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não votou
Pedro Ruas,PSOL,Sim
Professor Garcia,PMDB,Sim
Reginaldo Pujol,DEM,Sim
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Não votou
