Vereador,Partido,Projeto: PLL 132/15 - PROC. 1389/15 - Data de votação: 02/08/2017 - Autoria: Ver. Prof. Alex Fraga e da Verª Fernanda Melchionna - Resultado: Aprovado - Horário de início: 17:15:39  - Horário de término: 17:18:26 - Link para projeto: http://camarapoa.rs.gov.br/processos/125633
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Sim
Aldacir Oliboni,PT,Sim
Alvoni Medina,PRB,Sim
André Carús,PMDB,Sim
Carolina Rousseff,N/A,Sim
Cassio Trogildo,PTB,Não votou
Cassiá Carpes,PP,Sim
Clàudio Janta,SDD,Não votou
Comandante Nádia,PMDB,Sim
Dr. Goulart,PTB,Não votou
Dr. Thiago,DEM,Não votou
Felipe Camozzato,NOVO,Sim
Fernanda Melchionna,PSOL,Sim
Idenir Cecchim,PMDB,Não votou
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Não votou
Luciano Marcantonio,PTB,Sim
Matheus Ayres,PP,Sim
Mauro Pinheiro,REDE,Não votou
Mauro Zacher,PDT,Sim
Mendes Ribeiro,PMDB,Sim
Moisés Barboza,PSDB,Não votou
Monica Leal,PP,Sim
Márcio Bins Ely,PDT,Justificado
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Professor Alex Fraga,PSOL,Sim
Professor Bernardo,PT,Sim
Professor Wambert,PROS,Sim
Reginaldo Pujol,DEM,Não
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PR,Não votou
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não votou
