Vereador,Partido,Projeto: REQ. RETIRADA DA PRIORIZAÇÃO DO PLL 248/14 - PROC. 2735/14 - Data de votação: 20/04/2017 - Autoria: Marcelo Sgarbossa - Resultado: Rejeitado - Horário de início: 17:25:28  - Horário de término: 17:27:30 - Link para projeto: http://camarapoa.rs.gov.br/processos/123855
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Sim
Aldacir Oliboni,PT,Sim
Alvoni Medina,PRB,Não
André Carús,PMDB,Não votou
Cassio Trogildo,PTB,Não votou
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Não
Comandante Nádia,PMDB,Não votou
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Não votou
Felipe Camozzato,NOVO,Sim
Idenir Cecchim,PMDB,Não votou
José Freitas,PRB,Não
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Não
Karen Santos,PSOL,Sim
Luciano Marcantonio,PTB,Não
Marcelo Sgarbossa,PT,Sim
Matheus Ayres,PP,Não
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Não votou
Moisés Barboza,PSDB,Não
Monica Leal,PP,Não votou
Márcio Bins Ely,PDT,Não votou
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Ausente
Professor Alex Fraga,PSOL,Sim
Professor Wambert,PROS,Não
Reginaldo Pujol,DEM,Não
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PR,Não
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Não votou
